state,district,total_enrolments,records,anomaly_score
maharashtra,Thane,43688,4236,5.847145080858726
bihar,Sitamarhi,42232,1672,5.625307969984214
uttar pradesh,Bahraich,39338,1585,5.184376239990506
west bengal,Murshidabad,35911,4562,4.662236281908807
west bengal,South 24 Parganas,33540,4559,4.300989173472358
maharashtra,Pune,31763,6663,4.030244292961363
rajasthan,Jaipur,31146,4670,3.936237770015227
karnataka,Bengaluru,30980,5305,3.9109459016050834
uttar pradesh,Sitapur,30854,1720,3.891748459317866
bihar,West Champaran,30438,1277,3.828366427639434
uttar pradesh,Agra,29910,1979,3.7479200028168087
bihar,East Champaran,29323,2526,3.658484299462867
bihar,Muzaffarpur,28855,2966,3.5871795138246307
meghalaya,East Khasi Hills,28812,1332,3.580628005742485
west bengal,North 24 Parganas,28606,6488,3.5492417112094157
uttar pradesh,Bareilly,27811,1597,3.428114992016258
bihar,Gaya,27401,2095,3.365647124256265
west bengal,Uttar Dinajpur,26892,1430,3.288095551842029
uttar pradesh,Aligarh,26192,2055,3.181443094690821
telangana,Hyderabad,25990,3108,3.1506662427700443
bihar,Madhubani,25930,2635,3.1415246035856548
uttar pradesh,Lucknow,25514,2933,3.0781425719072226
gujarat,Surat,25469,2969,3.0712863425189307
uttar pradesh,Hardoi,25193,1624,3.0292348022707403
uttar pradesh,Kanpur Nagar,24708,2601,2.9553398855302606
bihar,Patna,24644,3390,2.9455888037335787
uttar pradesh,Kheri,24578,1816,2.9355330006307505
uttar pradesh,Shahjahanpur,24291,1112,2.8918054931987554
bihar,Saran,24218,3104,2.880683165524415
uttar pradesh,Meerut,24027,1471,2.8515822807874427
rajasthan,Alwar,23383,2720,2.7534620202083313
uttar pradesh,Varanasi,23334,2125,2.745996348207747
karnataka,Bengaluru Urban,23074,97,2.7063825784087268
uttar pradesh,Ghaziabad,23070,1828,2.705773135796434
madhya pradesh,Morena,22381,805,2.600796645829031
maharashtra,Nashik,22368,3739,2.5988159573390797
madhya pradesh,Indore,22303,1828,2.5889125148893246
rajasthan,Jodhpur,22215,2471,2.575504777418887
